name,industry,headquarter,company_type,foundation_date,founders,market_cap,rank,number_of_employees,website,facebook,twitter,instagram,pinterest,telephone,ceo,company_status,revenue,investors,total_assets_in_usd,total_liabilities_in_usd,total_equity_in_usd,annual_net_income_in_usd,annual_results_for_year_ending
Twitter,"['Communication Services', 'Software and IT', 'Software Products', 'Technology', 'Internet or Mobile App Based Business', 'Advertising', 'Media', 'Social Media', 'Artificial Intelligence']","California, USA, Northern America, Americas",,,,,663,"7,500",https://twitter.com,,,,,,Parag Agarwal,,"5,077 Million USD",,"14,059 Million USD","6,752 Million USD","7,307 Million USD",-221 Million USD,Dec-2021
Extra Space Storage,"['Real Estate', 'Consumer Services', 'Property Investments']","Utah, USA, Northern America, Americas",,,,,743,"4,013",https://www.extraspace.com/,,,,,,Joseph Margolis,,"1,577 Million USD",,"10,474 Million USD","6,688 Million USD","3,785 Million USD",826 Million USD,For Year ending Dec-2021
Saudi Arabian Mining Company (ma'aden),"['Basic Materials', 'Mining', 'Gold Mining', 'Bauxite Mining', 'Aluminum', 'Copper Mining', 'Zinc', 'Silver Mining']","Saudi Arabia, Western Asia, Asia",,,,,803,"8,000",https://www.maaden.com.sa/,,,,,,Mosaed Al Ohali,,"7,138 Million USD",,"27,556 Million USD","18,049 Million USD","9,507 Million USD","1,394 Million USD",Dec-2021
Hewlett Packard Enterprise Company,"['Technology', 'Technology Hardware and Instruments', 'Laptops', 'Computers Hardware', 'Desktops', 'Printers', 'Software and IT', 'Software Products', 'Software Consulting Services', 'Cloud Services', 'Network Hardware and Software', 'Electronics', 'Technology', 'Consumer Electronics', 'Consulting Services']","California, USA, Northern America, Americas",,,,,943,"60,400",https://www.hpe.com,,,,,,Antonio Neri,,"27,784 Million USD",,"57,699 Million USD","37,728 Million USD","19,971 Million USD","3,427 Million USD",Oct-2021
Tcs Group Holding,"['Financial Services', 'Banking Services']","Russia, Eastern Europe, Europe",,,,,"1,007","528,748",https://www.tinkoff.ru/,,,,,,Oliver Hughes,,0 Million USD,,"11,860 Million USD","10,278 Million USD","1,582 Million USD",571 Million USD,Dec-2021
Hyundai Mobis,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']","South Korea, Eastern Asia, Asia",,,,,"1,016","10,243",https://www.mobis.co.kr/,,,,,,,,"34,196 Million USD",,"42,216 Million USD","13,292 Million USD","28,924 Million USD","1,929 Million USD",Dec-2021
Amundi,"['Financial Services', 'Asset Management', 'Investments']","Paris, France, Western Europe, Europe",,,,,"1,226","4,700",https://www.amundi.com,,,,,,Valerie Baudson,,"3,531 Million USD",,"31,835 Million USD","21,151 Million USD","10,684 Million USD","1,443 Million USD",Dec-2021
New China Life Insurance Company,"['Financial Services', 'Banking Services', 'Insurance']","China, Eastern Asia, Asia",,,,,"1,274","36,309",https://www.newchinalife.com/,,,,,,,,"34,923 Million USD",,"177,160 Million USD","160,120 Million USD","17,045 Million USD","2,348 Million USD",Dec-2021
Prada,"['Consumer Cyclical', 'Luxury Goods', 'Beauty and Personal Care', 'Apparels and Accessories', 'Textile', 'Fashion and Luxury Goods', 'Leather Products', 'Shoes', 'Watches', 'FMCG']","Italy, South Europe, Europe",,,,,"1,335","13,331",https://www.prada.com,,,,,,Miuccia Prada,,"3,708 Million USD",,"7,669 Million USD","4,237 Million USD","3,431 Million USD",324 Million USD,Dec-2021
Warner Bros. Discovery Inc,"['Communication Services', 'Media', 'Consumer Services', 'Television Services', 'Advertising', 'Entertainment']","Maryland, USA, Northern America, Americas",,,,,"1,348","9,800",https://corporate.discovery.com/,,,,,,David Zaslav,,"12,191 Million USD",,"34,427 Million USD","21,031 Million USD","13,396 Million USD","1,006 Million USD",For Year ending Dec-2021
Sociedad Quimica Y Minera De Chile,"['Basic Materials', 'Mining', 'Metals', 'Chemicals']","Chile, South America, Americas",,,,,"1,411","5,507",https://www.sqm.com/,,,,,,Ricardo Ramos,,"2,862 Million USD",,"7,044 Million USD","3,862 Million USD","3,181 Million USD",585 Million USD,Dec-2021
Booz Allen Hamilton Holding Corporation,"['Industries', 'Consumer Services', 'Professional Services', 'Consulting Services']","Virginia, USA, Northern America, Americas",,,,,"1,645","27,700",https://www.boozallen.com/,,,,,,,,"8,363 Million USD",,"6,025 Million USD","4,978 Million USD","1,046 Million USD",463 Million USD,For Year Ending  MAR-2022
Hana Financial Group,"['Financial Services', 'Banking Services']","South Korea, Eastern Asia, Asia",,,,,"1,799",128,http://www.hanafn.com/,,,,,,,,"8,256 Million USD",,"408,940 Million USD","381,090 Million USD","27,851 Million USD","2,680 Million USD",For Year ending Dec-2021
Taiwan Mobile,"['Communication Services', 'Telecom', 'Mobile Services', 'Internet Providers']","Taiwan, South East Asia, Asia",,,,,"1,866","8,200",https://english.taiwanmobile.com/,,,,,,,,"5,353 Million USD",,"6,549 Million USD","4,302 Million USD","2,247 Million USD",377 Million USD,Dec-2021
First Solar,"['Technology', 'Electronics', 'Semiconductors', 'Solar Power Devices']","Arizona, USA, Northern America, Americas",,,,,"2,044","4,800",http://www.firstsolar.com,,,,,,,,"2,933 Million USD",,"7,413 Million USD","1,454 Million USD","5,959 Million USD",468 Million USD,For Year ending Dec-2021
Castellum Ab (publ),"['Real Estate', 'Financial Services', 'Investments', 'Property Investments']","Sweden, Northern Europe, Europe",,,,,"2,055",,https://www.castellum.se,,,,,,,,667 Million USD,,"18,651 Million USD","9,942 Million USD","8,709 Million USD","1,242 Million USD",Dec-2021
Under Armour,"['Consumer Cyclical', 'Clothing', 'Apparels and Accessories', 'Textile', 'Consumer Non Durables', 'Footwear', 'Shoes', 'Sports Goods']","Maryland, USA, Northern America, Americas",,,,,"2,092","12,868",https://www.underarmour.com/,,,,,,,,"5,683 Million USD",,"4,991 Million USD","2,902 Million USD","2,088 Million USD",360 Million USD,Dec-2021
Edison S.p.a,"['Utilities', 'Electric Utilities']","Italy, South Europe, Europe",,,,,"2,135","13,351",https://www.sce.com/,,,,,,,,"11,736 Million USD",,"16,703 Million USD","10,352 Million USD","6,351 Million USD",413 Million USD,For Year ending Dec-2021
Zynga,"['Communication Services', 'Technology', 'Gaming']","California, USA, Northern America, Americas",,,,,"2,584","2,245",https://www.zynga.com/,,,,,,,,"2,800 Million USD",,"6,358 Million USD","3,247 Million USD","3,111 Million USD",-104 Million USD,Dec-2021
Fox Factory Holding,"['Consumer Cyclical', 'Automobile Parts', 'Recreational Vehicles']","Georgia, USA, Northern America, Americas",,,,,"2,582","3,730",https://www.ridefox.com/,,,,,,,,"1,299 Million USD",,"1,515 Million USD",621 Million USD,894 Million USD,163 Million USD,For Year Ending  DEC-2022
Royal Gold,"['Basic Materials', 'Mining', 'Metals', 'Precious Metals', 'Gold Mining']","Colorado, USA, Northern America, Americas",,,,,"2,655",28,https://www.royalgold.com,,,,,,,,615 Million USD,,"2,651 Million USD",148 Million USD,"2,503 Million USD",302 Million USD,For Year Ending  Jun-2022
Kajima Corporation,"['Industries', 'Real Estate', 'Construction']","Japan, Eastern Asia, Asia",,,,,"2,888","7,887",https://www.kajima.co.jp,,,,,,,,"15,176 Million USD",,"17,058 Million USD","10,100 Million USD","6,958 Million USD",758 Million USD,For Year Ending Mar-2022
Ternium Argentina,"['Basic Materials', 'Iron and Steel']","Argentina, South America, Americas",,,,,"3,008","20,173",https://ar.ternium.com/es,,,,,,,,"2,850 Million USD",,"4,288 Million USD",483 Million USD,"3,805 Million USD","1,174 Million USD",Dec-2021
Haohua Chemical Science & Technology,"['Basic Materials', 'Chemicals']","China, Eastern Asia, Asia",,,,,"3,048",,http://www.tkgf.chemchina.com/,,,,,,,,"1,165 Million USD",,"1,830 Million USD",699 Million USD,"1,131 Million USD",140 Million USD,Dec-2021
Aac Technologies Holdings,"['Technology', 'Electronics', 'Technology Hardware and Instruments', 'Communications Equipment']","Hong Kong, Eastern Asia, Asia",,,,,"3,259","39,385",https://www.aactechnologies.com/en/,,,,,,,,"2,773 Million USD",,"6,596 Million USD","3,172 Million USD","3,423 Million USD",207 Million USD,Dec-2021
Varonis Systems,"['Technology', 'Software and IT', 'Software Products', 'Software and IT Infrastructure', 'Security Systems and Solutions']","New York, USA, Northern America, Americas",,,,,"3,443","2,065",https://varonis.com/,,,,,,,,390 Million USD,,"1,108 Million USD",511 Million USD,596 Million USD,-116 Million USD,Dec-2021
Option Care Health,"['Healthcare', 'Healthcare Service', 'Hospitals']","Illinois, USA, Northern America, Americas",,,,,"3,555","7,238",https://optioncare.com/,,,,,,,,"3,438 Million USD",,"2,790 Million USD","1,615 Million USD","1,175 Million USD",139 Million USD,Dec-2021
Jl Mag Rare-earth,"['Industries', 'Metal Fabrication Products']","China, Eastern Asia, Asia",,,,,"3,575","3,038",https://jlmag.eu/,,,,,,,,594 Million USD,,880 Million USD,449 Million USD,432 Million USD,66 Million USD,For Year ending  Dec-2021
Ionis Pharmaceuticals,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biotechnology', 'Technology']","California, USA, Northern America, Americas",,,,,"3,683",660,https://ir.ionispharma.com,,,,,,,,810 Million USD,,"2,611 Million USD","1,839 Million USD",771 Million USD,-28 Million USD,Dec-2021
Leyard Optoelectronic,"['Technology', 'Electronics', 'Capital Goods']","China, Eastern Asia, Asia",,,,,"3,704",,https://en.leyard.com/,,,,,,,,"1,288 Million USD",,"2,306 Million USD","1,171 Million USD","1,135 Million USD",89 Million USD,For Year ending  Dec-2021
Joincare Pharmaceutical Group Industry,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']","China, Eastern Asia, Asia",,,,,"3,888","13,000",https://www.joincare.com/,,,,,,,,"2,314 Million USD",,"4,526 Million USD","1,590 Million USD","2,936 Million USD",193 Million USD,For Year ending  Dec-2021
Alkermes,"['Healthcare', 'HealthCare Products', 'Biotechnology']","Dublin, Ireland, Northern Europe, Europe",,,,,"3,992","2,245",http://www.alkermes.com/,,,,,,,,"1,173 Million USD",,"2,024 Million USD",911 Million USD,"1,112 Million USD",-48 Million USD,Dec-2021
Kennedy-wilson Holdings,"['Real Estate', 'Financial Services']","California, USA, Northern America, Americas",,,,,"4,460",220,https://www.kennedywilson.com,,,,,,,,453 Million USD,,"7,876 Million USD","6,098 Million USD","1,777 Million USD",330 Million USD,Dec-2021
Elite Material,"['Technology', 'Electronics', 'Capital Goods']","Taiwan, South East Asia, Asia",,,,,"4,524",,https://www.emctw.com/en-global,,,,,,,,"1,272 Million USD",,"1,208 Million USD",555 Million USD,653 Million USD,182 Million USD,For Year ending Dec-2021
Acer,"['Technology', 'Computers Hardware', 'Laptops']","Taiwan, South East Asia, Asia",,,,,"4,552","7,054",https://www.acer.com/,,,,,,,,0 Million USD,,1 Million USD,1 Million USD,0 Million USD,0 Million USD,For Year ending Dec-2021
North China Pharmaceutical Company. Ltd,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']","China, Eastern Asia, Asia",,,,,"4,688",,http://www.ncpc.com/,,,,,,,,975 Million USD,,"3,628 Million USD","2,607 Million USD","1,021 Million USD",3 Million USD,For Year ending Dec-2021
Jizhong Energy Resources,"['Energy', 'Coal Mining', 'Mining']","China, Eastern Asia, Asia",,,,,"4,771","38,063",http://www.jznygf.com/,,,,,,,,"4,573 Million USD",,"7,267 Million USD","3,704 Million USD","3,563 Million USD",399 Million USD,For Year ending Dec-2021
Korea Gas Corporation,"['Utilities', 'Oil and Gas', 'Energy', 'Gas Utilities']","South Korea, Eastern Asia, Asia",,,,,"4,982",,http://www.kogas.or.kr,,,,,,,,"20,586 Million USD",,"32,665 Million USD","25,844 Million USD","6,821 Million USD",711 Million USD,For Year ending Dec-2021
Corbion,"['Basic Materials', 'Chemicals']","Netherlands, Western Europe, Europe",,,,,"5,127","2,267",http://www.corbion.com/,,,,,,,,"1,180 Million USD",,"1,479 Million USD",868 Million USD,611 Million USD,86 Million USD,Dec-2021
Atlas Air Worldwide Holdings,"['Industries', 'Transportation', 'Airports Operating']","New York, USA, Northern America, Americas",,,,,"5,407","4,056",https://www.atlasair.com/,,,,,,,,"4,030 Million USD",,"6,443 Million USD","3,633 Million USD","2,809 Million USD",493 Million USD,Dec-2021
Taiheiyo Cement Corporation,"['Basic Materials', 'Cement', 'Construction Materials']","Japan, Eastern Asia, Asia",,,,,"5,657",,https://www.taiheiyo-cement.co.jp/,,,,,,,,"5,168 Million USD",,"8,049 Million USD","4,073 Million USD","3,975 Million USD",211 Million USD,For Year Ending Mar-2022
Wonders Information,"['Technology', 'Software and IT']","China, Eastern Asia, Asia",,,,,"5,663",,https://www.wondersgroup.com/,,,,,,,,511 Million USD,,"1,040 Million USD",816 Million USD,224 Million USD,10 Million USD,For Year ending DEC-2021
Everbridge,"['Technology', 'Software and IT', 'Software Products']","Massachusetts, USA, Northern America, Americas",,,,,"5,714","1,952",https://www.everbridge.com/,,,,,,,,368 Million USD,,"1,479 Million USD","1,016 Million USD",462 Million USD,-94 Million USD,Dec-2021
Nippon Electric Glass,"['Technology', 'Electronics', 'Capital Goods']","Japan, Eastern Asia, Asia",,,,,"5,710","1,662",https://www.neg.co.jp/en/,,,,,,,,"2,131 Million USD",,"5,094 Million USD","1,448 Million USD","3,647 Million USD",204 Million USD,For Year ending DEC-2021
Nec Networks & System Integration Corporation,"['Technology', 'Software and IT']","Japan, Eastern Asia, Asia",,,,,"5,776","7,818",https://www.nesic.co.jp/english/,,,,,,,,"2,265 Million USD",,"1,859 Million USD",850 Million USD,"1,008 Million USD",110 Million USD,For Year Ending Mar-2022
Renasant Corporation,"['Financial Services', 'Banking Services']","Mississippi, USA, Northern America, Americas",,,,,"5,820","2,527",https://www.renasantbank.com/,,,,,,,,,,"16,810 Million USD","14,600 Million USD","2,209 Million USD",175 Million USD,Dec-2021
Wolverine World Wide,"['Consumer Cyclical', 'Consumer Non Durables', 'Footwear']","Michigan, USA, Northern America, Americas",,,,,"5,826","4,400",http://www.wolverineworldwide.com,,,,,,,,"2,414 Million USD",,"2,586 Million USD","1,956 Million USD",629 Million USD,68 Million USD,Jan-2022
Kiocl,"['Basic Materials', 'Iron and Steel']","India, Southern Asia, Asia",,,,,"6,044",805,https://www.kioclltd.in/,,,,,,,,376 Million USD,,333 Million USD,65 Million USD,268 Million USD,39 Million USD,For Year Ending  Mar-2022
Itau Corpbanca,"['Financial Services', 'Banking Services']","Chile, South America, Americas",,,,,"6,269",,http://www.itau.cl/,,,,,,,,"1,449 Million USD",,"42,089 Million USD","38,080 Million USD","3,694 Million USD",304 Million USD,For Year ending  Dec-2021
Wustenrot & Wurttembergische Ag,"['Financial Services', 'Insurance']","Germany, Western Europe, Europe",,,,,"6,494",,https://www.ww-ag.com/en,,,,,,,,,,,,,,
Xpel,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']","Texas, USA, Northern America, Americas",,,,,"6,623",709,https://www.xpel.com/,,,,,,,,259 Million USD,,161 Million USD,76 Million USD,84 Million USD,31 Million USD,Year ending Dec-2021
Lundin Gold,"['Basic Materials', 'Gold Mining', 'Mining']","Canada, Northern America, Americas",,,,,"6,778",,https://www.lundingold.com/,,,,,,,,733 Million USD,,"1,685 Million USD",870 Million USD,814 Million USD,221 Million USD,For Year Ending Dec-2021
Kokuyo,"['Industries', 'Furniture', 'Pens & Stationery', 'Toys', 'Office Equipment']","Japan, Eastern Asia, Asia",,,,,"6,839","6,961",https://www.kokuyo.com/en/,,,,,,,,37 Million USD,,28 Million USD,11 Million USD,17 Million USD,0 Million USD,For Year Ending Mar-2022
Ingles Markets,"['Consumer Defensive', 'Food Products', 'Consumer Services', 'Retail']","North Carolina, USA, Northern America, Americas",,,,,"7,104","26,000",https://www.ingles-markets.com/,,,,,,,,"4,987 Million USD",,"2,018 Million USD","1,035 Million USD",983 Million USD,249 Million USD,Year ending Sep-2021
Essentra,"['Basic Materials', 'Chemicals', 'Plastics / Plastic Products']","UK, Northern Europe, Europe",,,,,"7,552",,https://www.essentra.com/en,,,,,,,,"1,130 Million USD",,"1,510 Million USD",769 Million USD,740 Million USD,31 Million USD,For Year Ending  Dec-2021
Centamin,"['Basic Materials', 'Gold Mining', 'Mining', 'Precious Metals']","UK, Northern Europe, Europe",,,,,"7,687",,https://www.centamin.com/,,,,,,,,733 Million USD,,"1,423 Million USD",133 Million USD,"1,289 Million USD",101 Million USD,For Year Ending  Dec-2021
Mindmaze,,"Switzerland, Western Europe, Europe",,,,,"7,693",,https://www.mindmaze.com/,,,,,,,,,,,,,,
Blackrock Throgmorton Trust,Asset Management,"UK, Northern Europe, Europe",,,,,"8,059",,https://www.blackrock.com/,,,,,,,,,,,,,,For Year Ending  Nov-2021
Grendene,"['Consumer Cyclical', 'Footwear']","Brazil, South America, Americas",,,,,"8,229",,https://www.grendene.com.br/,,,,,,,,461 Million USD,,896 Million USD,90 Million USD,805 Million USD,118 Million USD,For Year Ending Dec-2021
Banque Cantonale De Geneve Sa,"['Financial Services', 'Banking Services']","Switzerland, Western Europe, Europe",,,,,"8,245",,https://www.bcge.ch/,,,,,,,,,,,,,,
Shanghai Maling Aquarius,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']","China, Eastern Asia, Asia",,,,,"8,468",,http://www.shanghaimaling.com/,,,,,,,,,,,,,,
Nayax Ltd.,"['Technology', 'Software and IT']","Israel, Western Asia, Asia",,,,,"8,554",,https://www.nayax.com/,,,,,,,,,,,,,,
Getac Technology Corporation,"['Technology', 'Computers Hardware']","Taiwan, South East Asia, Asia",,,,,"8,593",,https://www.getac.com/,,,,,,,,994 Million USD,,"1,184 Million USD",525 Million USD,660 Million USD,141 Million USD,For Year Ending Dec-2021
United Super Markets Holdings,"['Consumer Cyclical', 'Retail', 'Super Markets', 'Department Stores']","Japan, Eastern Asia, Asia",,,,,"8,628","28,905",https://www.usmh.co.jp/,,,,,,,,"5,228 Million USD",,"2,049 Million USD",938 Million USD,"1,111 Million USD",39 Million USD,For Year Ending  Feb-2022
Applegreen,"['Consumer Cyclical', 'Retail']","Ireland, Northern Europe, Europe",,,,,"8,638",,https://www.applegreenstores.com/,,,,,,,,,,,,,,
Semapa - Sociedade De Investimento E Gestao Sgps,"['Basic Materials', 'Paper and Pulp']","Portugal, South Europe, Europe",,,,,"9,008",,https://www.semapa.pt/,,,,,,,,,,,,,,
Jpmorgan Global Growth & Income,Asset Management,"UK, Northern Europe, Europe",,,,,"9,502",,https://am.jpmorgan.com/,,,,,,,,185 Million USD,,848 Million USD,78 Million USD,769 Million USD,183 Million USD,For Year Ending Jun-2021
Green Cross Holdings Corporation,"['Healthcare', 'Biotechnology', 'Pharmaceutical']","South Korea, Eastern Asia, Asia",,,,,"9,533",,http://www.pimaterials.com/,,,,,,,,"1,377 Million USD",,"2,616 Million USD","1,186 Million USD","1,429 Million USD",41 Million USD,For Year Ending Dec-2021
Mekonomen Ab (publ),"['Industries', 'Retail', 'Automobile Parts']","Sweden, Northern Europe, Europe",,,,,"9,646",,https://www.mekonomen.com/en/,,,,,,,,"1,412 Million USD",,,,,52 Million USD,DEC-2020
Corporacion America Airports,"['Industries', 'Airports Operating']","Luxembourg, Western Europe, Europe",,,,,"9,844",,http://www.caap.aero/,,,,,,,,706 Million USD,,"3,620 Million USD","2,847 Million USD",773 Million USD,-117 Million USD,For Year Ending Dec-2021
BP INTERNATIONAL LIMITED,,"LONDON, UNITED KINGDOM, UNITED KINGDOM",,,,,,,https://www.info-clipper.com/en/company/united-kingdom/bp-international-limited.gbd3h1ff0.html,,,,,,,,,,,,,,
"VEOLIA NORTH AMERICA, LLC",,"BOSTON, Massachusetts(MA), UNITED STATES",,,,,,,https://www.info-clipper.com/en/company/united-states/veolia-north-america-llc.usdd2mlhc.html,,,,,,,,,,,,,,
"VEOLIA NORTH AMERICA, INC.",,"BOSTON, Massachusetts(MA), UNITED STATES",,,,,,,https://www.info-clipper.com/en/company/united-states/veolia-north-america-inc.usd1cb05n.html,,,,,,,,,,,,,,
"EVERBRIDGE, INC.",,"PASADENA, California(CA), UNITED STATES",,,,,,,https://www.info-clipper.com/en/company/united-states/everbridge-inc.usd25o4d2.html,,,,,,,,,,,,,,
MERRILL LYNCH EUROPE LIMITED,,"LONDON, UNITED KINGDOM, UNITED KINGDOM",,,,,,,https://www.info-clipper.com/en/company/united-kingdom/merrill-lynch-europe-limited.gbd4spm3o.html,,,,,,,,,,,,,,
ACCENTURE (UK) LIMITED,,"LONDON, UNITED KINGDOM, UNITED KINGDOM",,,,,,,https://www.info-clipper.com/en/company/united-kingdom/accenture-limited.gbdc5kakf.html,,,,,,,,,,,,,,
AAC TECHNOLOGIES HOLDINGS INC,,"CUPERTINO, California(CA), UNITED STATES",,,,,,,https://www.info-clipper.com/en/company/united-states/aac-technologies-holdings-inc.usd1ecico.html,,,,,,,,,,,,,,
ASHTEAD GROUP PUBLIC LIMITED COMPANY,,"LONDON, UNITED KINGDOM, UNITED KINGDOM",,,,,,,https://www.info-clipper.com/en/company/united-kingdom/ashtead-group-public-limited-company.gbd4tn8gh.html,,,,,,,,,,,,,,
AMAZON.COM SERVICES LLC,,"SEATTLE, Washington(WA), UNITED STATES",,,,,,,https://www.info-clipper.com/en/company/united-states/amazoncom-services-llc.usd24spn6.html,,,,,,,,,,,,,,
"PEPSI-COLA METROPOLITAN BOTTLING COMPANY, INC.",,"PURCHASE, New York(NY), UNITED STATES",,,,,,,https://www.info-clipper.com/en/company/united-states/pepsi-cola-metropolitan-bottling-company-inc.usdrqk3.html,,,,,,,,,,,,,,
JIL SANDER SPA,,"MILANO, ITALY, ITALY",,,,,,,https://www.info-clipper.com/en/company/italy/jil-sander-spa.itd79ufam.html,,,,,,,,,,,,,,
BP INTERNATIONAL LIMITED,,"LONDON, UNITED KINGDOM, UNITED KINGDOM",,,,,,,https://www.info-clipper.com/en/company/united-kingdom/bp-international-limited.gbd3h1ff0.html,,,,,,,,,,,,,,
AAC TECHNOLOGIES HOLDINGS INC,,"CUPERTINO, California(CA), UNITED STATES",,,,,,,https://www.info-clipper.com/en/company/united-states/aac-technologies-holdings-inc.usd1ecico.html,,,,,,,,,,,,,,
MERRILL LYNCH EUROPE LIMITED,,"LONDON, UNITED KINGDOM, UNITED KINGDOM",,,,,,,https://www.info-clipper.com/en/company/united-kingdom/merrill-lynch-europe-limited.gbd4spm3o.html,,,,,,,,,,,,,,
ACCENTURE (UK) LIMITED,,"LONDON, UNITED KINGDOM, UNITED KINGDOM",,,,,,,https://www.info-clipper.com/en/company/united-kingdom/accenture-limited.gbdc5kakf.html,,,,,,,,,,,,,,
